"search-number","evaluation","g1t1*","g2t1*","g3t1*","g4t1*","g5t1*","g6t1*","g7t1*","g1t2*","g2t2*","g3t2*","g4t2*","g5t2*","g6t2*","g7t2*","g1t3*","g2t3*","g3t3*","g4t3*","g5t3*","g6t3*","g7t3*","g1t4*","g2t4*","g3t4*","g4t4*","g5t4*","g6t4*","g7t4*","g1t5*","g2t5*","g3t5*","g4t5*","g5t5*","g6t5*","g7t5*","fitness","num-replicates","best-fitness-so-far"
"1","2500","0.9","0.64","0.19","0.92","0.65","0.98","0.62","0.8200000000000001","0.5","0.5700000000000001","0.3","0.22","0.97","0.52","0.2","0.49","0.35000000000000003","0.46","0.8200000000000001","0.97","0.45","0.34","0.79","0","0.97","0","0.81","0.25","0.29","0.5700000000000001","0.1","0.11","0.71","0.42","0.11","203","1","199"
"1","2501","0.02","0.77","0.61","0.8300000000000001","0.45","0.9","0.97","0.6","0.86","0.23","0.8300000000000001","0.05","0.09","0.19","0.48","0.97","0.34","0.77","0.63","0.15","0.8200000000000001","0.31","0.86","0.3","0.97","0.9400000000000001","0.73","0.65","0.2","0.96","0.01","0.38","0.6","0.1","0.4","203","1","199"
"1","2502","0.09","0.85","0","0.65","0.76","0.6900000000000001","0.06","0.58","0.77","0.74","0.86","0.09","0.42","0.65","0.47000000000000003","0.99","0.19","0.75","0.76","0.6","0.36","0.88","0.75","0.33","0.86","0.05","0.06","0.02","0.98","0.1","0.67","0.14","0.33","0.08","0.86","203","1","199"
"1","2503","0.03","0.49","0.38","0.66","0.67","0.86","0.24","0.24","0.86","0.24","0.97","0.5700000000000001","0.54","0.88","0.55","0.97","0.21","0.8200000000000001","0.16","0.05","0.44","0.51","0.89","0.44","0.05","0.31","0.59","0.45","0.93","0.43","0.65","0.62","0.79","0.86","0.52","203","1","199"
"1","2504","0.14","0.6","0","0.93","0.8","0.3","0.51","0.42","0.92","0.59","0.37","0.29","0.01","0.9400000000000001","0.72","0.9","0.34","0.46","0.52","0.97","0.01","0.16","1","0.78","0.44","0.28","0.6900000000000001","0.45","0.34","0.43","0.65","0.49","0.79","0.66","0.6","203","1","199"
"1","2505","0.49","0.49","0.32","0.64","0.64","0.64","0.01","0.04","0.67","0.37","0.03","0.13","0.46","0.92","0.63","0.99","0.5700000000000001","0.47000000000000003","0.75","0.74","0.27","0.63","0.9500000000000001","0.39","0.05","0.64","0.68","0.06","0.34","0.67","0.96","0.55","0.37","0.87","0.59","203","1","199"
"1","2506","0.46","0.04","0.59","0.34","0.21","0.37","0.44","0.42","0.84","0.52","0.37","0.29","0.5700000000000001","0.9400000000000001","0.73","0.9","0.34","0.46","0.52","0.97","0.14","0.47000000000000003","0.07","0.45","0.16","0.86","0.87","0.8200000000000001","0.34","0.67","0.9500000000000001","0.55","0.67","0.87","0.6","203","1","199"
"1","2507","0.49","0.49","0.32","0.71","0.64","0.45","0.01","0.03","0.67","0.8","0.86","0.5","0.46","0.92","0.63","0.99","0.7000000000000001","0.8","0.75","0.74","0.27","0.63","0.9500000000000001","0.39","0.27","0.75","0.68","0.06","0.29","0.12","0.68","0.14","0.61","0.15","0.8300000000000001","203","1","199"
"1","2508","0.34","0.49","0.33","0.9500000000000001","0.19","0.4","0.07","0.93","0.34","0.62","0.25","0.27","0.85","0.07","0.9400000000000001","0.49","0.3","0.45","0.63","0.22","0.8200000000000001","0.34","0.92","0.02","0.96","0","0.04","0.89","0.13","0.5700000000000001","0.09","0.1","0.07","0.22","0.12","203","1","199"
"1","2509","0.22","0.52","0.56","0.3","0.02","0.6","0.59","0.63","0.79","0.3","0.6","0.05","0.09","0.16","0.48","0.96","0.15","0.77","0.19","0.07","0.06","0.23","0.9","0.14","0.16","0.6","0.52","0.33","0.34","0.38","0.6","0.13","0.71","0.84","0.11","203","1","199"
